umap1,umap2,pc1,pc2
4.903943,3.0900378,-1.6958091,-1.0802546
0.655844,5.760749,2.3465102,0.5109902
0.044225328,5.736201,2.9225435,0.67147434
0.08409695,-0.60562146,2.6103373,-4.9843373
-0.7164349,2.9653335,3.7156067,-1.0576766
0.0994468,0.10220879,3.572464,-2.6796322
-0.91965115,2.0457845,3.66627,-3.1554012
-0.67466885,3.0538194,3.0409205,-0.86446726
-1.1723086,3.909534,3.4779298,-1.0231767
-1.3567456,3.1076214,2.507445,-0.87829506
10.27408,5.4442177,-1.7058806,0.55404377
1.2973173,7.1404023,1.5882587,0.9639551
-0.04147994,3.0166497,3.4050121,-1.5096122
-0.1312479,5.1572556,2.7128928,-1.2450134
-1.2688524,2.719798,3.7167788,-1.8856322
1.3876809,7.290151,2.4051435,0.22735433
-0.3710469,2.8138058,3.5806289,-1.1409043
-0.8361999,1.956719,4.137738,-2.3338146
1.621142,6.8361373,1.5739801,0.558095
-0.750546,-0.6360846,2.7296057,-3.6408272
1.0288185,5.5252075,3.0341468,0.60915077
0.051691096,3.4284315,3.6596775,-1.0056531
0.15297085,3.766054,3.1501634,-0.9190248
-1.3287897,0.6970999,4.4473467,-1.6919774
1.6528116,4.132503,1.6393421,3.761466
-0.85019463,3.8648815,3.2946877,-0.5662123
-0.7180867,5.42818,3.0287755,0.63488626
1.7439307,6.817712,1.4664788,0.4084469
0.040509067,-0.2139671,2.9168537,-4.709638
0.332843,0.114071175,3.2477474,-3.3781548
3.5012856,8.502173,1.2205696,1.9453366
-1.6598694,3.8892405,3.0946174,-1.3637531
2.4195406,8.633059,1.3379092,1.5711234
-0.7390068,0.12671922,2.5919483,-3.2880154
-0.8153015,-0.14178343,2.669969,-3.6390128
1.8936982,7.204957,0.6372735,-0.3263517
0.6843706,6.495643,2.0207565,0.643039
5.593091,2.841872,-0.09224993,-9.066594
-1.0743165,3.2519162,2.9974895,-1.2973586
-1.455683,1.4077414,3.119464,-2.3632474
0.4623484,7.1708117,2.0846033,-0.20963424
3.3513558,8.219975,0.23809046,0.7931872
3.4606254,9.129903,1.204809,-0.14536577
5.199624,3.210424,-3.3237631,-4.179707
10.138428,-0.45144275,-8.428278,-5.864602
7.340374,8.631117,0.39451817,2.9394293
11.0131445,4.034249,-2.4784915,0.52292293
9.000019,6.982285,-0.7404174,2.2607467
10.549261,5.838006,-1.3349655,1.0535629
