lat1,lat2,lat3,lat4,lat5,lat6,lat7,lat8
2.0370402,-3.0735762,-9.361009,4.253656,-4.1073017,-8.437975,-8.515336,5.335245
0.9995486,0.43414938,-0.21590109,-1.6647475,-0.40432277,-0.71613264,-0.9610223,1.3921142
1.8102316,-1.4329716,-0.19488356,-1.9676747,-0.3124276,0.4203343,-1.923001,2.1886177
-1.3651568,-1.6790537,1.3932363,-4.567147,2.2597113,-3.0200098,0.38943934,-3.3311691
2.6432776,-1.4967517,0.4028988,-1.5418849,-1.0533707,-1.003937,-1.0671273,-0.69242287
1.0426288,-0.5239885,1.3123631,-3.565109,1.152379,-1.6796726,1.0416319,-1.6266793
2.555201,-1.5083392,1.1401132,-2.7791736,-0.11737728,-3.1148446,0.9064591,0.77177054
2.264661,0.3692447,1.3262225,-1.213386,-0.75461113,-1.7965504,0.42860556,0.6391151
3.0714474,-0.932799,1.7863435,-1.0006772,-0.7538556,-1.2537365,-0.29161802,0.87250286
2.2339623,0.06919514,1.9620833,-0.2771191,0.05083555,-0.9226238,0.8597744,-0.31956425
-1.3270508,-1.0574872,0.7708848,0.55128413,-0.8920846,0.21851459,3.2980466,3.2615528
1.2124641,-1.1955645,-0.7418197,-0.23946705,-1.3511944,0.5942843,-0.48229536,0.4116374
1.4589354,-0.20665798,2.9871073,-2.4096463,-1.3396748,-1.420487,1.5951205,0.12992434
2.0697863,-1.8385926,-0.3521307,-1.7610826,-0.27418196,-1.3410455,-0.39202586,1.0741302
3.0468323,-0.57469547,2.7638695,-0.797374,-0.6289139,-1.606606,0.46912497,-1.1058342
0.7454366,-1.9925759,-1.1943002,-2.1517117,-0.36403218,0.9689508,-0.84283155,-0.5679294
1.305659,0.3213266,2.460991,-2.318721,-0.38975394,-1.6435724,-1.1710933,0.2301663
2.640472,0.2789029,2.9490545,-2.307007,1.4555068,-2.2395277,-0.5126124,0.18480428
0.8356407,-0.17217137,-0.96524286,-0.5211389,-0.731004,-0.29146895,-0.5752755,-0.04869363
1.69461,-1.2375952,-0.7446827,-2.2163534,1.6270779,-2.773845,1.4909425,-2.6724513
0.7333245,-0.6173721,0.02813536,-2.2814944,-0.85263443,-0.19909479,-3.2526145,1.0570691
1.3887616,-0.8751581,2.4723077,-2.7024698,-2.2247121,-0.9608365,0.68025714,0.33334973
0.37365678,-1.7520094,2.249946,-2.7537632,-2.666402,-1.0918248,-1.3052076,1.0355738
3.398409,1.402088,0.272505,-1.2776427,1.3638114,-2.642851,-1.9679458,-2.2541835
-5.4654317,7.695396,-2.4522505,-4.89769,-6.183531,-2.1878443,0.5268142,-1.6739516
2.8095129,-0.2273041,2.246743,-0.875943,-0.9164674,-1.1110166,0.019874595,1.2380801
3.2053037,-0.6869671,1.436832,0.0015164465,-1.1553601,-0.21099472,-1.4507126,2.07958
0.51746434,-1.1450303,1.274652,-0.34881073,-1.7559661,0.37267712,0.049329363,0.36582908
0.53607506,-1.5118679,0.4066313,-4.7028947,3.218025,-3.50482,1.3046572,0.010872517
0.025090875,0.25272387,1.938318,-3.6573968,0.86217606,-2.8665442,1.0117903,-2.2817602
0.21153754,-0.034971356,-3.2554157,-1.1950523,-0.79641294,0.98365074,-0.22202125,-0.0040576644
3.0028832,-1.5355974,1.1940545,-1.0100291,-0.1011827,-1.0281613,0.38367328,0.61060673
1.1396196,1.3545665,-0.99368066,-0.2339634,-0.116557315,0.1617827,0.5877723,0.9183966
1.2980229,-1.1851263,0.020744883,-2.0988135,2.0572884,-2.8347557,-0.6767517,-1.2253793
1.858057,-0.3096093,1.019922,-1.4355489,2.40825,-3.089341,0.6329613,-2.029755
0.28108254,-2.1171167,-1.69987,-0.14445171,-1.6708248,-0.44231296,0.4643633,-0.71439993
2.0458694,0.8424428,-1.1378515,0.0345793,-0.21246266,-1.0267516,-0.9182344,0.46739832
3.548637,-12.482238,2.8808851,1.2297368,-0.49428424,-4.869926,1.9918652,3.4678779
3.2758632,-0.5830085,1.4462771,-0.19214848,-1.6811311,-2.1207588,1.0532832,0.59199953
2.4304388,-1.1892271,1.331,-1.3498999,0.31904158,-1.7264881,0.8308913,-1.1346265
1.8577856,-1.3354205,-1.4563419,-1.8502356,1.0497386,0.25322825,1.2767444,1.0476485
-0.4679792,-2.4571915,-4.174958,-1.2630724,-0.5760343,0.6488861,-0.48963335,0.48331717
-0.06298745,0.48058957,-1.609777,-1.9544287,1.54389,0.0059722047,1.9045329,-0.9096961
-0.23327363,-7.5611677,-7.8760204,2.9720287,3.9061434,-6.5298333,-11.634246,5.272977
-6.160287,-2.0537233,2.6690884,6.10415,3.935569,-5.842796,1.6187592,-0.08996615
-0.18865786,0.68490076,-0.7756484,0.3074496,-0.12937246,2.4940786,-0.06456656,0.24000867
-1.9726533,0.36077946,-0.13573629,1.9324481,0.71016955,-0.40047553,1.3389533,1.1080791
-1.2510127,-0.27429962,0.8494188,1.1413342,-0.79690933,2.06013,-0.14565477,0.8334775
-1.106032,-0.36731476,0.89060545,1.4382035,-0.7702024,0.67703235,1.7316196,1.252261
-0.44734403,3.6944797,-2.6342378,-1.9886336,-0.85901797,1.8310254,0.08442222,1.2915262
0.5923962,1.264396,-0.13752657,2.2200394,-0.2373634,2.7891595,-1.3436083,-0.42415044
0.09600319,-0.78915,1.195704,0.0060743615,-1.2191375,-1.1756233,0.27435058,0.36980474
-2.5882921,-1.0900972,0.4708739,2.0587025,1.3833556,-0.06561071,0.7228877,2.9512866
1.458405,1.1636181,-2.304849,-0.9309957,-0.16983591,-0.31357,0.9278788,-0.7518997
-3.38536,0.9788886,0.22672598,0.32871094,-1.7509872,0.5054323,-1.8024395,1.1961282
-1.5356318,0.9699876,2.4706514,1.9324911,-2.07569,0.44544145,0.1109216,2.276314
-2.251217,-0.41895205,-0.24735011,2.1126418,-0.23864236,-0.17323616,1.1370186,0.048330467
-0.4121596,-0.14027396,0.98703057,2.181761,0.5321127,0.67534626,0.38063672,1.1082903
0.6634561,0.14756311,1.0554222,3.1168935,-1.7996453,1.3018248,0.33233976,1.2113801
-0.9534772,0.21402605,-1.8786066,-1.4223331,-0.5496696,0.24594118,0.36854616,-0.3832517
-0.2930644,0.47418803,-1.0024844,1.0878383,-2.2773845,2.4089425,1.4153712,0.978672
-5.0199456,-1.0213021,-2.4378817,3.2587297,0.54305506,0.58606464,1.0506456,0.8818949
-2.7787912,-2.4827511,0.62617,1.1821597,0.5596039,-0.6278504,0.30749682,0.31889156
-11.158981,-3.365608,0.77666765,1.0050162,-1.4025474,-7.321327,9.92399,9.329
-0.74006116,1.5407968,-1.371783,-0.20948383,-1.8501651,1.5136144,-0.4566057,0.35857275
-1.4277457,-0.28924337,1.47476,1.5632548,0.14611532,-0.26606408,3.164503,0.098790795
